symbol,description,path,trade_mode,digits,spread,trade_contract_size,trade_currency,quote_currency,margin_currency,is_visible
COUR.NYSE,"Coursera, Inc.",Stock CFD's\NYSE\COUR.NYSE,4,3,0,1.0,USD,USD,USD,False
EEX.NYSE,Emerald Holding Inc,Stock CFD's\NYSE\EEX.NYSE,4,3,0,1.0,USD,USD,USD,False
XPRO.NYSE,Expro Group Holdings NV,Stock CFD's\NYSE\XPRO.NYSE,4,3,0,1.0,USD,USD,USD,False
RACE.NYSE,Ferrari NV (US),Stock CFD's\NYSE\RACE.NYSE,4,3,0,1.0,USD,USD,USD,False
GES.NYSE,Guess? Inc,Stock CFD's\NYSE\GES.NYSE,4,3,0,1.0,USD,USD,USD,False
IHS.NYSE,IHS Holding Limited,Stock CFD's\NYSE\IHS.NYSE,4,3,0,1.0,USD,USD,USD,False
LGFa.NYSE,Lions Gate Entertainment Corp,Stock CFD's\NYSE\LGFa.NYSE,3,3,0,1.0,USD,USD,USD,False
SHEL.NYSE,Shell PLC (US),Stock CFD's\NYSE\SHEL.NYSE,4,3,0,1.0,USD,USD,USD,False
FOUR.NYSE,Shift4 Payments Inc,Stock CFD's\NYSE\FOUR.NYSE,3,3,0,1.0,USD,USD,USD,False
SHG.NYSE,Shinhan Financial Group Co Ltd,Stock CFD's\NYSE\SHG.NYSE,4,3,0,1.0,USD,USD,USD,False
SSTK.NYSE,Shutterstock Inc,Stock CFD's\NYSE\SSTK.NYSE,4,3,0,1.0,USD,USD,USD,False
SIG.NYSE,Signet Jewelers Ltd,Stock CFD's\NYSE\SIG.NYSE,4,3,0,1.0,USD,USD,USD,False
SMWB.NYSE,SimilarWeb LTD,Stock CFD's\NYSE\SMWB.NYSE,3,3,0,1.0,USD,USD,USD,False
SLI.NYSE,Standard Lithium Ltd,Stock CFD's\NYSE\SLI.NYSE,4,4,0,1.0,USD,USD,USD,False
SMP.NYSE,Standard Motor Products Inc,Stock CFD's\NYSE\SMP.NYSE,4,3,0,1.0,USD,USD,USD,False
SXI.NYSE,Standex International Corp,Stock CFD's\NYSE\SXI.NYSE,4,3,0,1.0,USD,USD,USD,False
STN.NYSE,Stantec Inc (US),Stock CFD's\NYSE\STN.NYSE,4,3,0,1.0,USD,USD,USD,False
SGU.NYSE,Star Gas Partners LP,Stock CFD's\NYSE\SGU.NYSE,4,3,0,1.0,USD,USD,USD,False
STLA.NYSE,Stellantis NV (US),Stock CFD's\NYSE\STLA.NYSE,4,3,0,1.0,USD,USD,USD,False
STEM.NYSE,Stem Inc,Stock CFD's\NYSE\STEM.NYSE,4,3,0,1.0,USD,USD,USD,False
SCL.NYSE,Stepan Co,Stock CFD's\NYSE\SCL.NYSE,4,3,0,1.0,USD,USD,USD,False
STXS.NYSE,Stereotaxis Inc,Stock CFD's\NYSE\STXS.NYSE,4,3,0,1.0,USD,USD,USD,False
STVN.NYSE,Stevanato Group SPA,Stock CFD's\NYSE\STVN.NYSE,3,3,0,1.0,USD,USD,USD,False
THR.NYSE,Thermon Group Holdings Inc,Stock CFD's\NYSE\THR.NYSE,3,3,0,1.0,USD,USD,USD,False
TDW.NYSE,Tidewater Inc,Stock CFD's\NYSE\TDW.NYSE,3,3,0,1.0,USD,USD,USD,False
