ticket,order,symbol,type,volume,price,profit,swap,commission,time
1066357410,1305122104,GBPCHF,0,0.01,1.05814,0.0,0.0,0.0,2025-11-06 17:51:46
1066355749,1305120138,EURGBP,1,0.01,0.88058,-0.52,0.0,0.0,2025-11-06 17:50:15
1066349923,1305113091,GBPAUD,0,0.01,2.00853,0.0,0.0,0.0,2025-11-06 17:45:13
1066347526,1305110274,EURCHF,0,0.01,0.93196,0.0,0.0,0.0,2025-11-06 17:44:19
1066341410,1305103030,GBPNZD,0,0.01,2.31098,0.0,0.0,0.0,2025-11-06 17:38:12
1066340721,1305102200,NZDUSD,0,0.01,0.56542,0.57,0.0,0.0,2025-11-06 17:37:24
1066340575,1305102047,AUDUSD,1,0.01,0.65041,-0.47,0.0,0.0,2025-11-06 17:37:17
1066338722,1305099936,USDCHF,0,0.01,0.80967,-0.64,0.0,0.0,2025-11-06 17:35:50
1066327024,1305085552,AUDJPY,1,0.01,100.006,0.0,0.0,0.0,2025-11-06 17:28:09
1066320742,1305078366,EURCAD,0,0.01,1.62312,0.0,0.0,0.0,2025-11-06 17:24:30
1066320696,1305078322,GBPAUD,0,0.01,2.00782,-1.03,0.0,0.0,2025-11-06 17:24:28
1066320694,1305078315,USDCHF,1,0.01,0.80915,0.0,0.0,0.0,2025-11-06 17:24:28
1066317408,1305074379,GBPCHF,0,0.01,1.05735,-0.83,0.0,0.0,2025-11-06 17:21:12
1066317119,1305073986,EURJPY,1,0.01,176.939,0.0,0.0,0.0,2025-11-06 17:20:58
1066317065,1305073924,EURJPY,1,0.01,176.949,-0.69,0.0,0.0,2025-11-06 17:20:55
1066316324,1305073045,USDCHF,0,0.01,0.80921,-0.54,0.0,0.0,2025-11-06 17:20:17
1066315665,1305071962,NZDCAD,1,0.01,0.7971,0.0,0.0,0.0,2025-11-06 17:20:00
1066315296,1305071474,NZDCAD,0,0.01,0.79723,0.55,0.0,0.0,2025-11-06 17:19:53
